Chat ID,Chat Start Time,Chat Start Day,Chat End Time,Chat Length,Messages to Bot,Bot Responses (Low Confidence),Bot Responses (No Confidence)
23165751,"October 31, 2023 10:21 PM",2,"October 31, 2023 10:23 PM",74,2,,
23165713,"October 31, 2023 10:19 PM",2,"October 31, 2023 10:20 PM",20,1,,
23165698,"October 31, 2023 10:18 PM",2,"October 31, 2023 10:19 PM",22,1,,
23164329,"October 31, 2023 9:10 PM",2,"October 31, 2023 9:10 PM",,,,
23163477,"October 31, 2023 8:26 PM",2,"October 31, 2023 8:28 PM",109,7,,
23163318,"October 31, 2023 8:18 PM",2,"October 31, 2023 8:18 PM",,,,
23163305,"October 31, 2023 8:18 PM",2,"October 31, 2023 8:18 PM",20,1,,
23163266,"October 31, 2023 8:15 PM",2,"October 31, 2023 8:16 PM",38,,,
23160943,"October 31, 2023 6:29 PM",2,"October 31, 2023 6:34 PM",266,3,1,1
23160832,"October 31, 2023 6:25 PM",2,"October 31, 2023 6:28 PM",181,1,,1
23160693,"October 31, 2023 6:18 PM",2,"October 31, 2023 6:25 PM",361,1,1,
23160098,"October 31, 2023 5:53 PM",2,"October 31, 2023 5:53 PM",,,,
23159843,"October 31, 2023 5:43 PM",2,"October 31, 2023 5:45 PM",112,1,,
23158136,"October 31, 2023 4:41 PM",2,"October 31, 2023 4:46 PM",325,2,,
23158032,"October 31, 2023 4:38 PM",2,"October 31, 2023 4:39 PM",80,1,,
23157722,"October 31, 2023 4:28 PM",2,"October 31, 2023 4:29 PM",32,,,
23156295,"October 31, 2023 3:44 PM",2,"October 31, 2023 3:46 PM",101,3,,
23156151,"October 31, 2023 3:40 PM",2,"October 31, 2023 3:40 PM",,,,
23156046,"October 31, 2023 3:37 PM",2,"October 31, 2023 3:37 PM",17,,,
23156028,"October 31, 2023 3:37 PM",2,"October 31, 2023 3:37 PM",,,,
23155951,"October 31, 2023 3:35 PM",2,"November 1, 2023 7:25 PM",100187,5,,
23155933,"October 31, 2023 3:34 PM",2,"October 31, 2023 3:34 PM",,,,
23155824,"October 31, 2023 3:32 PM",2,"October 31, 2023 4:20 PM",2894,1,1,
23155805,"October 31, 2023 3:31 PM",2,"October 31, 2023 3:31 PM",,,,
23155705,"October 31, 2023 3:28 PM",2,"October 31, 2023 3:54 PM",1580,1,1,
23155600,"October 31, 2023 3:24 PM",2,"October 31, 2023 3:24 PM",,,,
23155494,"October 31, 2023 3:21 PM",2,"October 31, 2023 3:21 PM",,,,
23155378,"October 31, 2023 3:18 PM",2,"October 31, 2023 3:18 PM",13,,,
23155294,"October 31, 2023 3:15 PM",2,"October 31, 2023 3:16 PM",33,1,,
23154905,"October 31, 2023 3:04 PM",2,"October 31, 2023 3:04 PM",,,,
